id,serviceorder,locatienaam,monsternummer,nummeranalyserapport,rapportdatum,monsternemer,ruimte,tappunt,product,soort,tempvoor,tempna,analyzepakket,datum,tijd,rapportversie,parameter,component,resultaat,eh,startdatumanalyse,starttijdanalyse,omschrijving order,appt nr. 1,appt nr. 2,appt nr. 3,appt nr. 4
80992,SOHS99614,Nieuwehagen (HW),1,5312710,2018-06-08,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,21.8,18.9,HDSC_3D_KZ,2018-05-31,13:40,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-06-01,09:48,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
80993,SOHS99614,Nieuwehagen (HW),1,5312710,2018-06-08,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,21.8,18.9,HDSC_3D_KZ,2018-05-31,13:40,1,ANA0001129,Zilver (ICP-MS),31,µg̸l Ag,2018-06-02,04:16,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
80994,SOHS99614,Nieuwehagen (HW),2,5312711,2018-06-08,Giel van de Leest,Badkamer appartement 2.48,Douche,Drinkwater,Koud water,23.6,24.9,HDSC_3D_KZ,2018-05-31,13:50,1,ANA0000572,Koloniegetal 22 °C,41,kve̸ml,2018-06-01,09:47,Maandelijkse mon koper/zilverinstallatie 2 mons ,2.48,,,
80995,SOHS99614,Nieuwehagen (HW),2,5312711,2018-06-08,Giel van de Leest,Badkamer appartement 2.48,Douche,Drinkwater,Koud water,23.6,24.9,HDSC_3D_KZ,2018-05-31,13:50,1,ANA0001128,Koper (ICP-MS),790,µg̸l Cu,2018-06-02,04:42,Maandelijkse mon koper/zilverinstallatie 2 mons ,2.48,,,
80996,SOHS99614,Nieuwehagen (HW),2,5312711,2018-06-08,Giel van de Leest,Badkamer appartement 2.48,Douche,Drinkwater,Koud water,23.6,24.9,HDSC_3D_KZ,2018-05-31,13:50,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-06-01,09:47,Maandelijkse mon koper/zilverinstallatie 2 mons ,2.48,,,
80997,SOHS99614,Nieuwehagen (HW),2,5312711,2018-06-08,Giel van de Leest,Badkamer appartement 2.48,Douche,Drinkwater,Koud water,23.6,24.9,HDSC_3D_KZ,2018-05-31,13:50,1,ANA0001129,Zilver (ICP-MS),26,µg̸l Ag,2018-06-02,04:42,Maandelijkse mon koper/zilverinstallatie 2 mons ,2.48,,,
76503,SOHS98468,Noorderkroon (HW),1,5298139,2018-05-08,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,14.3,14.3,HDSC_3D_KZ,2018-04-30,14:25,1,ANA0000572,Koloniegetal 22 °C,65,kve̸ml,2018-05-01,10:56,Kwartaal mon koper/zilverinstallatie 3 mons ,,,,
76504,SOHS98468,Noorderkroon (HW),1,5298139,2018-05-08,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,14.3,14.3,HDSC_3D_KZ,2018-04-30,14:25,1,ANA0001128,Koper (ICP-MS),290,µg̸l Cu,2018-05-01,12:54,Kwartaal mon koper/zilverinstallatie 3 mons ,,,,
76505,SOHS98468,Noorderkroon (HW),1,5298139,2018-05-08,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,14.3,14.3,HDSC_3D_KZ,2018-04-30,14:25,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-05-01,08:18,Kwartaal mon koper/zilverinstallatie 3 mons ,,,,
76506,SOHS98468,Noorderkroon (HW),1,5298139,2018-05-08,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,14.3,14.3,HDSC_3D_KZ,2018-04-30,14:25,1,ANA0001129,Zilver (ICP-MS),25,µg̸l Ag,2018-05-01,12:54,Kwartaal mon koper/zilverinstallatie 3 mons ,,,,
76507,SOHS98468,Noorderkroon (HW),2,5298140,2018-05-08,Giel van de Leest,Appartement 113,Douche,Drinkwater,Koud water,21.6,18.5,HDSC_3D_KZ,2018-04-30,14:10,1,ANA0000572,Koloniegetal 22 °C,17,kve̸ml,2018-05-01,10:56,Kwartaal mon koper/zilverinstallatie 3 mons ,113,,,
76508,SOHS98468,Noorderkroon (HW),2,5298140,2018-05-08,Giel van de Leest,Appartement 113,Douche,Drinkwater,Koud water,21.6,18.5,HDSC_3D_KZ,2018-04-30,14:10,1,ANA0001128,Koper (ICP-MS),650,µg̸l Cu,2018-05-01,13:39,Kwartaal mon koper/zilverinstallatie 3 mons ,113,,,
76509,SOHS98468,Noorderkroon (HW),2,5298140,2018-05-08,Giel van de Leest,Appartement 113,Douche,Drinkwater,Koud water,21.6,18.5,HDSC_3D_KZ,2018-04-30,14:10,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-05-01,08:18,Kwartaal mon koper/zilverinstallatie 3 mons ,113,,,
76510,SOHS98468,Noorderkroon (HW),2,5298140,2018-05-08,Giel van de Leest,Appartement 113,Douche,Drinkwater,Koud water,21.6,18.5,HDSC_3D_KZ,2018-04-30,14:10,1,ANA0001129,Zilver (ICP-MS),21,µg̸l Ag,2018-05-01,13:39,Kwartaal mon koper/zilverinstallatie 3 mons ,113,,,
76511,SOHS98468,Noorderkroon (HW),3,5298141,2018-05-08,Giel van de Leest,Appartement 20 PG,Douche,Drinkwater,Koud water,21.4,19.8,HDSC_3D_KZ,2018-04-30,15:55,1,ANA0000572,Koloniegetal 22 °C,5,kve̸ml,2018-05-01,10:56,Kwartaal mon koper/zilverinstallatie 3 mons ,20,,,
76512,SOHS98468,Noorderkroon (HW),3,5298141,2018-05-08,Giel van de Leest,Appartement 20 PG,Douche,Drinkwater,Koud water,21.4,19.8,HDSC_3D_KZ,2018-04-30,15:55,1,ANA0001128,Koper (ICP-MS),700,µg̸l Cu,2018-05-01,12:51,Kwartaal mon koper/zilverinstallatie 3 mons ,20,,,
76513,SOHS98468,Noorderkroon (HW),3,5298141,2018-05-08,Giel van de Leest,Appartement 20 PG,Douche,Drinkwater,Koud water,21.4,19.8,HDSC_3D_KZ,2018-04-30,15:55,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-05-01,08:24,Kwartaal mon koper/zilverinstallatie 3 mons ,20,,,
76514,SOHS98468,Noorderkroon (HW),3,5298141,2018-05-08,Giel van de Leest,Appartement 20 PG,Douche,Drinkwater,Koud water,21.4,19.8,HDSC_3D_KZ,2018-04-30,15:55,1,ANA0001129,Zilver (ICP-MS),19,µg̸l Ag,2018-05-01,12:51,Kwartaal mon koper/zilverinstallatie 3 mons ,20,,,
76646,SOHS98467,Nieuwehagen (HW),1,5298182,2018-05-08,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,18.3,16.2,HDSC_3D_KZ,2018-04-30,15:15,1,ANA0000572,Koloniegetal 22 °C,37,kve̸ml,2018-05-01,10:54,Kwartaal mon koper/zilverinstallatie 4 mons ,,,,
76647,SOHS98467,Nieuwehagen (HW),1,5298182,2018-05-08,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,18.3,16.2,HDSC_3D_KZ,2018-04-30,15:15,1,ANA0001128,Koper (ICP-MS),600,µg̸l Cu,2018-05-01,13:36,Kwartaal mon koper/zilverinstallatie 4 mons ,,,,
76648,SOHS98467,Nieuwehagen (HW),1,5298182,2018-05-08,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,18.3,16.2,HDSC_3D_KZ,2018-04-30,15:15,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-05-01,08:18,Kwartaal mon koper/zilverinstallatie 4 mons ,,,,
76649,SOHS98467,Nieuwehagen (HW),1,5298182,2018-05-08,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,18.3,16.2,HDSC_3D_KZ,2018-04-30,15:15,1,ANA0001129,Zilver (ICP-MS),47,µg̸l Ag,2018-05-01,13:36,Kwartaal mon koper/zilverinstallatie 4 mons ,,,,
76650,SOHS98467,Nieuwehagen (HW),2,5298183,2018-05-08,Giel van de Leest,Badkamer appartement 2.48,Douche,Drinkwater,Koud water,22.4,21.2,HDSC_3D_KZ,2018-04-30,15:05,1,ANA0000580,Legionella non-pneumophila,100,kve̸l,2018-05-08,11:57,Kwartaal mon koper/zilverinstallatie 4 mons ,2.48,,,
76651,SOHS98467,Nieuwehagen (HW),2,5298183,2018-05-08,Giel van de Leest,Badkamer appartement 2.48,Douche,Drinkwater,Koud water,22.4,21.2,HDSC_3D_KZ,2018-04-30,15:05,1,ANA0000580,Legionella pneumophila,<100,kve̸l,2018-05-08,11:57,Kwartaal mon koper/zilverinstallatie 4 mons ,2.48,,,
76652,SOHS98467,Nieuwehagen (HW),2,5298183,2018-05-08,Giel van de Leest,Badkamer appartement 2.48,Douche,Drinkwater,Koud water,22.4,21.2,HDSC_3D_KZ,2018-04-30,15:05,1,ANA0000572,Koloniegetal 22 °C,68,kve̸ml,2018-05-01,10:54,Kwartaal mon koper/zilverinstallatie 4 mons ,2.48,,,
76653,SOHS98467,Nieuwehagen (HW),2,5298183,2018-05-08,Giel van de Leest,Badkamer appartement 2.48,Douche,Drinkwater,Koud water,22.4,21.2,HDSC_3D_KZ,2018-04-30,15:05,1,ANA0001128,Koper (ICP-MS),1400,µg̸l Cu,2018-05-01,13:53,Kwartaal mon koper/zilverinstallatie 4 mons ,2.48,,,
76654,SOHS98467,Nieuwehagen (HW),2,5298183,2018-05-08,Giel van de Leest,Badkamer appartement 2.48,Douche,Drinkwater,Koud water,22.4,21.2,HDSC_3D_KZ,2018-04-30,15:05,1,ANA0000577,Totaal Legionella spp,100,kve̸l,2018-05-01,08:18,Kwartaal mon koper/zilverinstallatie 4 mons ,2.48,,,
76655,SOHS98467,Nieuwehagen (HW),2,5298183,2018-05-08,Giel van de Leest,Badkamer appartement 2.48,Douche,Drinkwater,Koud water,22.4,21.2,HDSC_3D_KZ,2018-04-30,15:05,1,ANA0001129,Zilver (ICP-MS),8.5,µg̸l Ag,2018-05-01,13:53,Kwartaal mon koper/zilverinstallatie 4 mons ,2.48,,,
76656,SOHS98467,Nieuwehagen (HW),3,5298184,2018-05-08,Giel van de Leest,Badkamer appartement 2.66,Douche,Drinkwater,Koud water,22.8,20.1,HDSC_3D_KZ,2018-04-30,15:00,1,ANA0000572,Koloniegetal 22 °C,120,kve̸ml,2018-05-01,10:51,Kwartaal mon koper/zilverinstallatie 4 mons ,2.66,,,
76657,SOHS98467,Nieuwehagen (HW),3,5298184,2018-05-08,Giel van de Leest,Badkamer appartement 2.66,Douche,Drinkwater,Koud water,22.8,20.1,HDSC_3D_KZ,2018-04-30,15:00,1,ANA0001128,Koper (ICP-MS),410,µg̸l Cu,2018-05-01,13:50,Kwartaal mon koper/zilverinstallatie 4 mons ,2.66,,,
76658,SOHS98467,Nieuwehagen (HW),3,5298184,2018-05-08,Giel van de Leest,Badkamer appartement 2.66,Douche,Drinkwater,Koud water,22.8,20.1,HDSC_3D_KZ,2018-04-30,15:00,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-05-01,08:18,Kwartaal mon koper/zilverinstallatie 4 mons ,2.66,,,
76659,SOHS98467,Nieuwehagen (HW),3,5298184,2018-05-08,Giel van de Leest,Badkamer appartement 2.66,Douche,Drinkwater,Koud water,22.8,20.1,HDSC_3D_KZ,2018-04-30,15:00,1,ANA0001129,Zilver (ICP-MS),43,µg̸l Ag,2018-05-01,13:50,Kwartaal mon koper/zilverinstallatie 4 mons ,2.66,,,
76660,SOHS98467,Nieuwehagen (HW),4,5298185,2018-05-08,Giel van de Leest,Kamer 070 4 PG,Douche,Drinkwater,Koud water,22.6,19.3,HDSC_3D_KZ,2018-04-30,14:50,1,ANA0000572,Koloniegetal 22 °C,13,kve̸ml,2018-05-01,10:50,Kwartaal mon koper/zilverinstallatie 4 mons ,070,,,
76661,SOHS98467,Nieuwehagen (HW),4,5298185,2018-05-08,Giel van de Leest,Kamer 070 4 PG,Douche,Drinkwater,Koud water,22.6,19.3,HDSC_3D_KZ,2018-04-30,14:50,1,ANA0001128,Koper (ICP-MS),740,µg̸l Cu,2018-05-01,13:41,Kwartaal mon koper/zilverinstallatie 4 mons ,070,,,
76662,SOHS98467,Nieuwehagen (HW),4,5298185,2018-05-08,Giel van de Leest,Kamer 070 4 PG,Douche,Drinkwater,Koud water,22.6,19.3,HDSC_3D_KZ,2018-04-30,14:50,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-05-01,08:18,Kwartaal mon koper/zilverinstallatie 4 mons ,070,,,
76663,SOHS98467,Nieuwehagen (HW),4,5298185,2018-05-08,Giel van de Leest,Kamer 070 4 PG,Douche,Drinkwater,Koud water,22.6,19.3,HDSC_3D_KZ,2018-04-30,14:50,1,ANA0001129,Zilver (ICP-MS),30,µg̸l Ag,2018-05-01,13:41,Kwartaal mon koper/zilverinstallatie 4 mons ,070,,,
66889,SOHS95263,Noorderkroon (HW),1,5267355,2018-03-05,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,12.4,9.3,HDSC_3D_KZ,2018-02-23,10:56,1,ANA0000572,Koloniegetal 22 °C,52,kve̸ml,2018-02-24,11:04,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
66890,SOHS95263,Noorderkroon (HW),1,5267355,2018-03-05,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,12.4,9.3,HDSC_3D_KZ,2018-02-23,10:56,1,ANA0001128,Koper (ICP-MS),250,µg̸l Cu,2018-02-26,21:07,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
66891,SOHS95263,Noorderkroon (HW),1,5267355,2018-03-05,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,12.4,9.3,HDSC_3D_KZ,2018-02-23,10:56,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-02-24,08:27,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
66892,SOHS95263,Noorderkroon (HW),1,5267355,2018-03-05,Giel van de Leest,Kelder koper/zilver ruimte,1e tappunt na koper/zilverion. tapkraan groep A,Drinkwater,Koud water,12.4,9.3,HDSC_3D_KZ,2018-02-23,10:56,1,ANA0001129,Zilver (ICP-MS),15,µg̸l Ag,2018-02-26,21:07,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
66893,SOHS95263,Noorderkroon (HW),2,5267356,2018-03-05,Giel van de Leest,Appartement 305,Douchemengkraan,Drinkwater,Koud water,18.5,14.2,HDSC_3D_KZ,2018-02-23,10:40,1,ANA0000572,Koloniegetal 22 °C,83,kve̸ml,2018-02-24,11:08,Maandelijkse mon koper/zilverinstallatie 2 mons ,305,,,
66894,SOHS95263,Noorderkroon (HW),2,5267356,2018-03-05,Giel van de Leest,Appartement 305,Douchemengkraan,Drinkwater,Koud water,18.5,14.2,HDSC_3D_KZ,2018-02-23,10:40,1,ANA0001128,Koper (ICP-MS),900,µg̸l Cu,2018-02-26,20:54,Maandelijkse mon koper/zilverinstallatie 2 mons ,305,,,
66895,SOHS95263,Noorderkroon (HW),2,5267356,2018-03-05,Giel van de Leest,Appartement 305,Douchemengkraan,Drinkwater,Koud water,18.5,14.2,HDSC_3D_KZ,2018-02-23,10:40,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-02-24,08:27,Maandelijkse mon koper/zilverinstallatie 2 mons ,305,,,
66896,SOHS95263,Noorderkroon (HW),2,5267356,2018-03-05,Giel van de Leest,Appartement 305,Douchemengkraan,Drinkwater,Koud water,18.5,14.2,HDSC_3D_KZ,2018-02-23,10:40,1,ANA0001129,Zilver (ICP-MS),13,µg̸l Ag,2018-02-26,20:54,Maandelijkse mon koper/zilverinstallatie 2 mons ,305,,,
66909,SOHS95261,Nieuwehagen (HW),1,5267363,2018-03-05,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,15.9,11.3,HDSC_3D_KZ,2018-02-23,12:00,1,ANA0000572,Koloniegetal 22 °C,54,kve̸ml,2018-02-24,11:04,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
66910,SOHS95261,Nieuwehagen (HW),1,5267363,2018-03-05,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,15.9,11.3,HDSC_3D_KZ,2018-02-23,12:00,1,ANA0001128,Koper (ICP-MS),270,µg̸l Cu,2018-02-26,20:56,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
66911,SOHS95261,Nieuwehagen (HW),1,5267363,2018-03-05,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,15.9,11.3,HDSC_3D_KZ,2018-02-23,12:00,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-02-24,08:06,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
66912,SOHS95261,Nieuwehagen (HW),1,5267363,2018-03-05,Giel van de Leest,Werkplaats kelder,1e tappunt na koper/zilverionisatie wastafelkraan,Drinkwater,Koud water,15.9,11.3,HDSC_3D_KZ,2018-02-23,12:00,1,ANA0001129,Zilver (ICP-MS),26,µg̸l Ag,2018-02-26,20:56,Maandelijkse mon koper/zilverinstallatie 2 mons ,,,,
66913,SOHS95261,Nieuwehagen (HW),2,5267364,2018-03-05,Giel van de Leest,Badkamer appartement 2.50,Douche,Drinkwater,Koud water,18.4,14.3,HDSC_3D_KZ,2018-02-23,11:40,1,ANA0000572,Koloniegetal 22 °C,54,kve̸ml,2018-02-24,11:06,Maandelijkse mon koper/zilverinstallatie 2 mons ,2.50,,,
66914,SOHS95261,Nieuwehagen (HW),2,5267364,2018-03-05,Giel van de Leest,Badkamer appartement 2.50,Douche,Drinkwater,Koud water,18.4,14.3,HDSC_3D_KZ,2018-02-23,11:40,1,ANA0001128,Koper (ICP-MS),960,µg̸l Cu,2018-02-26,20:51,Maandelijkse mon koper/zilverinstallatie 2 mons ,2.50,,,
66915,SOHS95261,Nieuwehagen (HW),2,5267364,2018-03-05,Giel van de Leest,Badkamer appartement 2.50,Douche,Drinkwater,Koud water,18.4,14.3,HDSC_3D_KZ,2018-02-23,11:40,1,ANA0000577,Totaal Legionella spp,<100,kve̸l,2018-02-24,08:05,Maandelijkse mon koper/zilverinstallatie 2 mons ,2.50,,,
66916,SOHS95261,Nieuwehagen (HW),2,5267364,2018-03-05,Giel van de Leest,Badkamer appartement 2.50,Douche,Drinkwater,Koud water,18.4,14.3,HDSC_3D_KZ,2018-02-23,11:40,1,ANA0001129,Zilver (ICP-MS),18,µg̸l Ag,2018-02-26,20:51,Maandelijkse mon koper/zilverinstallatie 2 mons ,2.50,,,
70825,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000557,Bacteriën van de coligroep,0,kve̸100 ml,2018-03-28,17:04,Jaarl mp IIIc,C1.17,,,
70826,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000202,Calcium (ICP-MS),44,mg̸l Ca,2018-03-29,17:46,Jaarl mp IIIc,C1.17,,,
70827,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000288,EGV 20°C,65,mS̸m,2018-03-29,02:35,Jaarl mp IIIc,C1.17,,,
70828,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000569,Enterokokken spp,0,kve̸100 ml,2018-03-28,17:04,Jaarl mp IIIc,C1.17,,,
70829,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000557,Escherichia coli (standaard test),0,kve̸100 ml,2018-03-28,17:04,Jaarl mp IIIc,C1.17,,,
70830,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000569,Intestinale enterokokken,0,kve̸100 ml,2018-03-28,17:04,Jaarl mp IIIc,C1.17,,,
70831,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000572,Koloniegetal 22 °C,18,kve̸ml,2018-03-28,17:04,Jaarl mp IIIc,C1.17,,,
70832,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000358,Magnesium (ICP-MS),8.6,mg̸l Mg,2018-03-29,17:46,Jaarl mp IIIc,C1.17,,,
70833,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000557,Stoorflora,afwezig,,2018-03-28,17:04,Jaarl mp IIIc,C1.17,,,
70834,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000288,Temperatuur tijdens meting,19.6,°C,2018-03-29,02:35,Jaarl mp IIIc,C1.17,,,
70835,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000419,Temperatuur tijdens meting,19.1,°C,2018-03-29,02:35,Jaarl mp IIIc,C1.17,,,
70836,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000304,Totale hardheid berekend,1.46,mmol̸l,2018-03-30,10:57,Jaarl mp IIIc,C1.17,,,
70837,SOHS93523,Noorderkroon (HW),1,5281863,2018-03-31,Giel van de Leest,Techniekruimte C1.17 kelder,Aftap na waterontharder 1 links,Drinkwater,Koud water,12.7,12.7,HDSC_3C,2018-03-28,12:40,1,ANA0000516,Waterstofcarbonaat,180,mg̸l HCO3,2018-03-29,02:35,Jaarl mp IIIc,C1.17,,,
