locatienaam,datum,frequentie,norm/eis,kritisch punt (onderwerp),verdieping,ruimte,advies: controlemiddel,nr.,hoofd- functie,uitgevoerd,opmerking,ingevuld door,ingevuld op,schema afgesloten,appt nr. 1,appt nr. 2
Nieuwehagen (HW),2018-04-23,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Wastafelmengkraan,Derde etage,3.14 Ruimte 3.14 'T Palet,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,418,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-04-25 13:23:00,JA,3.14,3.14
Nieuwehagen (HW),2018-04-23,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Toilet,Derde etage,3.14 Ruimte 3.14 'T Palet,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,419,Koud water,JA,,Servicedienst Nieuwehagen,2018-04-25 13:23:00,JA,3.14,3.14
Nieuwehagen (HW),2018-04-23,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Keukenmengkraan,Derde etage,3.28 Orangerie/ huiskamer,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,431,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-04-25 13:23:00,JA,3.28,
Nieuwehagen (HW),2018-04-23,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Wastafelmengkraan,Derde etage,3.42 Logeerkamer bewoners,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,436,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-04-25 13:23:00,JA,3.42,
Nieuwehagen (HW),2018-04-23,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Thermostatische douchemengkraan,Derde etage,3.42 Logeerkamer bewoners,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,437,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-04-25 13:23:00,JA,3.42,
Nieuwehagen (HW),2018-04-30,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Tapkraan vullen cv-installatie > 45 kW,Kelder,0.14/0.15 Technische ruimte kelder,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,6,Koud water,JA,,Servicedienst Nieuwehagen,2018-05-01 11:08:45,JA,0.14,0.15
Nieuwehagen (HW),2018-04-30,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Wastafelkraan,Kelder,0.10 Wasruimte kelder,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,14,Koud water,JA,,Servicedienst Nieuwehagen,2018-05-01 11:08:45,JA,0.10,
Nieuwehagen (HW),2018-04-30,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Slangwartelkraan (uittapleiding),Kelder,0.10 Wasruimte (tapkraan scrobmachine),Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,15,Koud water,JA,,Servicedienst Nieuwehagen,2018-05-01 11:08:45,JA,0.10,
Nieuwehagen (HW),2018-04-30,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Wastafelmengkraan,Kelder,Kleedruimte heren,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,16,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-05-01 11:08:45,JA,,
Nieuwehagen (HW),2018-04-30,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Wastafelmengkraan,Kelder,Kleedruimte heren,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,17,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-05-01 11:08:45,JA,,
Nieuwehagen (HW),2018-04-30,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Thermostatische douchemengkraan,Kelder,Kleedruimte heren,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,18,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-05-01 11:08:45,JA,,
Nieuwehagen (HW),2018-04-30,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Wastafelmengkraan,Kelder,Kleedruimte dames,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,20,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-05-01 11:08:45,JA,,
Nieuwehagen (HW),2018-04-30,Wekelijks,Ministeriële regeling legionellapreventie bijlage 2 artikel 5.1: Voorkomen stilstand van water.,Wastafelmengkraan,Kelder,Kleedruimte dames,Doorspoelen totdat stabiele temperatuur is bereikt. Vervolgens 10 seconden doorstromen. Neem voorzorgsmaatregelen in verband met verbrandings- en besmettingsgevaar (zie hoofdstuk 6). Noteer bij opmerking de spoeltemperatuur en spoeltijd.,21,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-05-01 11:08:45,JA,,
