locatienaam,datum,frequentie,norm/eis,kritisch punt (onderwerp),locatie,advies: controlemiddel,hoofd- functie,uitgevoerd,opmerking,ingevuld door,ingevuld op,schema afgesloten,appt nr. 1,appt nr. 2
Nieuwehagen (HW),2016-06-06,Wekelijks,Voorkomen stilstand van water,Spoelen: Appartementen/kamers & kantoren die langer dan één week leeg staan,Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,NEE,,Antoine Derksen,2016-06-23 13:41:40,NEE,,
Nieuwehagen (HW),2016-07-04,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte heren kelder douchemengkraan,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-11 12:21:34,JA,,
Nieuwehagen (HW),2016-07-04,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte dames kelder douchemengkraan,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-11 12:21:34,JA,,
Nieuwehagen (HW),2016-07-04,Wekelijks,Voorkomen stilstand van water,Spoelen: Spoelruimte Bg afd. PG keukenmengkraan,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-11 12:21:34,JA,,
Nieuwehagen (HW),2016-07-04,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 116 wastafelmengkraan,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-11 12:21:34,JA,116,
Nieuwehagen (HW),2016-07-04,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 239 tapkraan,Ruimte 239 tapkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-11 12:21:34,JA,239,
Nieuwehagen (HW),2016-07-04,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.06 wastafelmengkraan,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-11 12:21:34,JA,2.06,
Nieuwehagen (HW),2016-07-04,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-11 12:21:34,JA,2.07,2.08
Nieuwehagen (HW),2016-07-04,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.13 (flexplek) wastafelmengkraan,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-11 12:21:34,JA,2.13,
Nieuwehagen (HW),2016-07-04,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 314 wastafelmengkraan,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-11 12:21:34,JA,314,
Nieuwehagen (HW),2016-07-04,Wekelijks,Voorkomen stilstand van water,Spoelen: Appartementen/kamers & kantoren die langer dan één week leeg staan,Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-11 12:21:34,JA,,
Nieuwehagen (HW),2016-07-11,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte heren kelder douchemengkraan,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-12 08:06:59,JA,,
Nieuwehagen (HW),2016-07-11,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte dames kelder douchemengkraan,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-12 08:06:59,JA,,
Nieuwehagen (HW),2016-07-11,Wekelijks,Voorkomen stilstand van water,Spoelen: Spoelruimte Bg afd. PG keukenmengkraan,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-12 08:06:59,JA,,
Nieuwehagen (HW),2016-07-11,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 116 wastafelmengkraan,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-12 08:06:59,JA,116,
Nieuwehagen (HW),2016-07-11,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 239 tapkraan,Ruimte 239 tapkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-12 08:06:59,JA,239,
Nieuwehagen (HW),2016-07-11,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.06 wastafelmengkraan,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-12 08:06:59,JA,2.06,
Nieuwehagen (HW),2016-07-11,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-12 08:06:59,JA,2.07,2.08
Nieuwehagen (HW),2016-07-11,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.13 (flexplek) wastafelmengkraan,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-12 08:06:59,JA,2.13,
Nieuwehagen (HW),2016-07-11,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 314 wastafelmengkraan,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-12 08:06:59,JA,314,
Nieuwehagen (HW),2016-07-11,Wekelijks,Voorkomen stilstand van water,Spoelen: Appartementen/kamers & kantoren die langer dan één week leeg staan,Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-12 08:06:59,JA,,
Nieuwehagen (HW),2016-07-18,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte heren kelder douchemengkraan,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-19 09:40:31,JA,,
Nieuwehagen (HW),2016-07-18,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte dames kelder douchemengkraan,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-19 09:40:31,JA,,
Nieuwehagen (HW),2016-07-18,Wekelijks,Voorkomen stilstand van water,Spoelen: Spoelruimte Bg afd. PG keukenmengkraan,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-19 09:40:31,JA,,
Nieuwehagen (HW),2016-07-18,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 116 wastafelmengkraan,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-19 09:40:31,JA,116,
Nieuwehagen (HW),2016-07-18,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 239 tapkraan,Ruimte 239 tapkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-19 09:40:31,JA,239,
Nieuwehagen (HW),2016-07-18,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.06 wastafelmengkraan,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-19 09:40:31,JA,2.06,
Nieuwehagen (HW),2016-07-18,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-19 09:40:31,JA,2.07,2.08
Nieuwehagen (HW),2016-07-18,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.13 (flexplek) wastafelmengkraan,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-19 09:40:31,JA,2.13,
Nieuwehagen (HW),2016-07-18,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 314 wastafelmengkraan,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-19 09:40:31,JA,314,
Nieuwehagen (HW),2016-07-18,Wekelijks,Voorkomen stilstand van water,Spoelen: Appartementen/kamers & kantoren die langer dan één week leeg staan,Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-19 09:40:31,JA,,
Nieuwehagen (HW),2016-07-25,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte heren kelder douchemengkraan,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-26 14:34:37,JA,,
Nieuwehagen (HW),2016-07-25,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte dames kelder douchemengkraan,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-26 14:34:37,JA,,
Nieuwehagen (HW),2016-07-25,Wekelijks,Voorkomen stilstand van water,Spoelen: Spoelruimte Bg afd. PG keukenmengkraan,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-26 14:34:37,JA,,
Nieuwehagen (HW),2016-07-25,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 116 wastafelmengkraan,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-26 14:34:37,JA,116,
Nieuwehagen (HW),2016-07-25,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 239 tapkraan,Ruimte 239 tapkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-26 14:34:37,JA,239,
Nieuwehagen (HW),2016-07-25,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.06 wastafelmengkraan,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-26 14:34:37,JA,2.06,
Nieuwehagen (HW),2016-07-25,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-26 14:34:37,JA,2.07,2.08
Nieuwehagen (HW),2016-07-25,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.13 (flexplek) wastafelmengkraan,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-26 14:34:37,JA,2.13,
Nieuwehagen (HW),2016-07-25,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 314 wastafelmengkraan,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-26 14:34:37,JA,314,
Nieuwehagen (HW),2016-07-25,Wekelijks,Voorkomen stilstand van water,Spoelen: Appartementen/kamers & kantoren die langer dan één week leeg staan,Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-07-26 14:34:37,JA,,
Nieuwehagen (HW),2016-08-01,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte heren kelder douchemengkraan,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-02 13:59:11,JA,,
Nieuwehagen (HW),2016-08-01,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte dames kelder douchemengkraan,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-02 13:59:11,JA,,
Nieuwehagen (HW),2016-08-01,Wekelijks,Voorkomen stilstand van water,Spoelen: Spoelruimte Bg afd. PG keukenmengkraan,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-02 13:59:11,JA,,
Nieuwehagen (HW),2016-08-01,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 116 wastafelmengkraan,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-02 13:59:11,JA,116,
Nieuwehagen (HW),2016-08-01,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 239 tapkraan,Ruimte 239 tapkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-02 13:59:11,JA,239,
Nieuwehagen (HW),2016-08-01,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.06 wastafelmengkraan,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-02 13:59:11,JA,2.06,
Nieuwehagen (HW),2016-08-01,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-02 13:59:11,JA,2.07,2.08
Nieuwehagen (HW),2016-08-01,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.13 (flexplek) wastafelmengkraan,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-02 13:59:11,JA,2.13,
Nieuwehagen (HW),2016-08-01,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 314 wastafelmengkraan,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-02 13:59:11,JA,314,
Nieuwehagen (HW),2016-08-01,Wekelijks,Voorkomen stilstand van water,Spoelen: Appartementen/kamers & kantoren die langer dan één week leeg staan,Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-02 13:59:11,JA,,
Nieuwehagen (HW),2016-08-08,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte heren kelder douchemengkraan,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-08 14:42:04,JA,,
Nieuwehagen (HW),2016-08-08,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte dames kelder douchemengkraan,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-08 14:42:04,JA,,
Nieuwehagen (HW),2016-08-08,Wekelijks,Voorkomen stilstand van water,Spoelen: Spoelruimte Bg afd. PG keukenmengkraan,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-08 14:42:04,JA,,
Nieuwehagen (HW),2016-08-08,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 116 wastafelmengkraan,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-08 14:42:04,JA,116,
Nieuwehagen (HW),2016-08-08,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 239 tapkraan,Ruimte 239 tapkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-08 14:42:04,JA,239,
Nieuwehagen (HW),2016-08-08,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.06 wastafelmengkraan,Ruimte 2.06 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-08 14:42:04,JA,2.06,
Nieuwehagen (HW),2016-08-08,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,Ruimte 2.07/2.08 (behandelkamer) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-08 14:42:04,JA,2.07,2.08
Nieuwehagen (HW),2016-08-08,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 2.13 (flexplek) wastafelmengkraan,Ruimte 2.13 (flexplek) wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-08 14:42:04,JA,2.13,
Nieuwehagen (HW),2016-08-08,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 314 wastafelmengkraan,Ruimte 314 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-08 14:42:04,JA,314,
Nieuwehagen (HW),2016-08-08,Wekelijks,Voorkomen stilstand van water,Spoelen: Appartementen/kamers & kantoren die langer dan één week leeg staan,Appartementen/kamers & kantoren die langer dan één week leeg staan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-08 14:42:04,JA,,
Nieuwehagen (HW),2016-08-15,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte heren kelder douchemengkraan,Kleedruimte heren kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-15 12:18:26,JA,,
Nieuwehagen (HW),2016-08-15,Wekelijks,Voorkomen stilstand van water,Spoelen: Kleedruimte dames kelder douchemengkraan,Kleedruimte dames kelder douchemengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-15 12:18:26,JA,,
Nieuwehagen (HW),2016-08-15,Wekelijks,Voorkomen stilstand van water,Spoelen: Spoelruimte Bg afd. PG keukenmengkraan,Spoelruimte Bg afd. PG keukenmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-15 12:18:26,JA,,
Nieuwehagen (HW),2016-08-15,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 116 wastafelmengkraan,Ruimte 116 wastafelmengkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-15 12:18:26,JA,116,
Nieuwehagen (HW),2016-08-15,Wekelijks,Voorkomen stilstand van water,Spoelen: Ruimte 239 tapkraan,Ruimte 239 tapkraan,"Werkwijze: doorspoelen totdat een stabiele temperatuur is bereikt, vervolgens 2 minuten doorstromen.",KW,JA,,Servicedienst Nieuwehagen,2016-08-15 12:18:26,JA,239,
