Gebouwruimte,Ligging,Type,Nader
A.2.9,Oost,Zorgapp.,
A.2.10,Zuid,Zorgapp.,
A.2.11,Zuid,Zorgapp.,
A.2.12,Zuid,Zorgapp.,
A.2.13,Zuid,Zorgapp.,
A.2.14,West,Zorgapp.,
A.2.15,West,Zorgapp.,
A.2.16,West,Zorgapp.,
A.2.17,West,Zorgapp.,
A.2.18,West,Zorgapp.,
A.2.19,West,Zorgapp.,
A.2.20,Noord,Zorgapp.,
A.2.21,Oost,Zorgapp.,
A.2.22,Oost,Huiskamer,
A.2.23,,,
A.2.24,,,
A.2.25,,,
A.2.26,,,
A.2.27,,,
A.2.28,,Werkkast,
A.2.29,,,
A.2.30,,,
A.2.31,,,
A.2.32,,,
A.2.33,,,
A.2.34,,,
A.2.35,,,
A.2.36,,,
A.2.37,,,
A.2.38,,Spoelruimte,
A.2.39,,Spoelruimte,
A.2.40,,,
A.2.41,,,
A.2.42,,,
A.2.43,,,
A.2.44,,,
A.3.1,Noord,Gang,
A.3.2,Noord,Berging,
A.3.3,Noord,Lift,
A.3.4,Noord,Trap,
A.3.5,,,
A.3.6,Oost,Zorgapp.,
A.3.7,Oost,Zorgapp.,
A.3.8,Oost,Zorgapp.,305.0
A.3.9,Oost,Zorgapp.,306.0
A.3.10,Zuid,Zorgapp.,
A.3.11,Zuid,Zorgapp.,
A.3.12,Zuid,Zorgapp.,
A.3.13,Zuid,Zorgapp.,
A.3.14,West,Zorgapp.,
A.3.15,West,Zorgapp.,
A.3.16,West,Zorgapp.,
A.3.17,West,Zorgapp.,
A.3.18,West,Zorgapp.,
A.3.19,West,Zorgapp.,316.0
A.3.20,Noord,Zorgapp.,317.0
A.3.21,Oost,Zorgapp.,
A.3.22,Oost,Zorgapp.,
A.3.23,,,
A.3.24,,,
A.3.25,,,
A.3.26,,,
A.3.27,,,
A.3.28,,,
A.3.29,,,
A.3.30,,,
A.3.31,,,
A.3.32,,,
A.3.33,,,
A.3.34,,,
A.3.35,,,
A.3.36,,,
A.3.37,,,
A.3.38,,,
A.3.39,,Spoelruimte,
A.3.40,,,
A.3.41,,,
A.3.42,,,
A.3.43,,,
A.3.44,,,
B.0.1,West,Gang,
B.0.2,Oost,Personeelsruimte,
B.0.3,Oost,Personeelsruimte,
B.0.4,Oost,Personeelsruimte,
B.0.5,Oost,Flexplex,
B.0.6,Oost,Flexplex,
B.1.1,West,Gang,
B.1.2,Oost,Vergader,
B.1.3,Oost,Vergader,
B.1.4,Oost,Vergader,
B.1.5,Oost,Pantry,
B.1.6,Oost,Toilet,
C.0.1,,,
C.0.2,,,
C.0.3,,,
C.0.4,,,
C.0.5,,,
C.0.6,,,
C.0.7,,,
C.0.8,,Receptie,
C.0.9,,,
C.0.10,,,
C.0.11,,,
C.0.12,,,
C.0.13,,,
C.0.14,,,
C.0.15,West,Keuken,
C.0.16,,,
C.0.17,West,Winkel,
C.0.18,West,Kapsalon,
C.0.19,West,Garderobe,
C.0.20,Noord,Toilet,
C.0.21,Noord,Toilet,
C.0.22,Noord,Toilet,
C.0.23,,,
C.0.24,,,
C.0.25,,,
C.0.26,,Kantoor,
C.0.27,,,
C.0.28,,,
C.0.29,,,
C.0.30,,,
C.0.31,,Recreatie,
C.0.32,,Arcade,
C.0.33,,,
C.0.34,,,
C.1.01,Midden,Galerij,
C.1.02,Midden,Lift,
C.1.03,Midden,Trap,
C.1.04,Midden,Lift,
C.1.05,Zuid,Trap,
C.1.06,,,
C.1.07,,,
C.1.08,,,
C.1.09,,Berging,
C.1.10,,,
C.1.11,,,
C.1.12,,,
C.1.13,Midden,Galerij,
C.1.14,West,Huiskamer,
C.1.15,Zuid,Huiskamer,
C.1.16,West,Appartement,
C.1.17,West,Appartement,
C.1.18,West,Appartement,
C.1.19,West,Appartement,
C.1.20,Noord,Appartement,
C.1.21,Noord,Appartement,
C.1.22,Noord,Appartement,
C.1.23,Noord,Appartement,
C.1.24,Zuid,Appartement,
C.1.25,Zuid,Appartement,
C.1.26,West,Appartement,
C.1.27,Zuid,Appartement,
C.1.28,,,
C.1.29,,,
C.1.30,,Recreatie,
C.2.01,Midden,Galerij,
C.2.02,Midden,Lift,
C.2.03,Midden,Trap,
C.2.04,Midden,Lift,
C.2.05,Zuid,Trap,
C.2.06,Zuid,Zorgapp.,
C.2.07,Zuid,Zorgapp.,
C.2.08,Zuid,Zorgapp.,
C.2.09,,Flexplek,
C.2.10,,Gang,
C.2.11,Zuid,Zorgapp.,
C.2.12,Zuid,Zorgapp.,217.0
C.2.13,West,Zorgapp.,218.0
C.2.14,West,Zorgapp.,
C.2.15,West,Zorgapp.,
C.2.16,West,Zorgapp.,
C.2.17,West,Zorgapp.,
C.2.18,West,Zorgapp.,
C.2.19,Noord,Zorgapp.,
C.2.20,West,Zorgapp.,
C.2.21,Noord,Zorgapp.,
C.2.22,Noord,Zorgapp.,
C.2.23,Noord,Zorgapp.,
C.2.24,Noord,Zorgapp.,
C.2.25,Noord,Zorgapp.,
C.2.26,,Galerij,
C.2.27,,Galerij,
C.2.28,,Zitje,
C.2.29,,Galerij,
C.2.30,,Recreatie,
C.2.31,,Toilet,
C.2.32,,Zitje,
C.2.33,,Kantoor,
C.3.01,Midden,Galerij,
C.3.02,Midden,Lift,
C.3.03,Midden,Trap,
C.3.04,Midden,Lift,
C.3.05,Zuid,Trap,
C.3.06,Zuid,Zorgapp.,
C.3.07,Zuid,Zorgapp.,
C.3.08,Zuid,Zorgapp.,
C.3.09,Zuid,Zorgapp.,
C.3.10,,Gang,
C.3.11,,Huiskamer,
C.3.12,Zuid,Zorgapp.,
C.3.13,West,Zorgapp.,
C.3.14,West,Zorgapp.,
C.3.15,West,Zorgapp.,
C.3.16,West,Zorgapp.,
C.3.17,West,Zorgapp.,
C.3.18,West,Zorgapp.,
C.3.19,Noord,Zorgapp.,
C.3.20,Noord,Zorgapp.,326.0
C.3.21,Noord,Zorgapp.,327.0
C.3.22,Noord,Zorgapp.,
C.3.23,Noord,Zorgapp.,
C.3.24,Noord,Zorgapp.,
C.3.25,Noord,Zorgapp.,
C.3.26,,Galerij,
C.3.27,,Galerij,
C.3.28,,Zitje,
C.3.29,,Galerij,
C.3.30,,Recreatie,
C.3.31,,Toilet,
C.3.32,,Zitje,
